pollutants_sk,location_sk,weather_sk,date_sk,pollution_main_aqi,pollution_components_co,pollution_components_no,pollution_components_no2,pollution_components_o3,pollution_components_so2,pollution_components_pm2_5,pollution_components_pm10,pollution_components_nh3
41,2,2,8,5,510.05,2.26,19.97,5.02,8.6,85.99,96.16,9.52
42,2,3,8,5,510.05,2.26,19.97,5.02,8.6,85.99,96.16,9.52
43,2,0,8,5,510.05,2.26,19.97,5.02,8.6,85.99,96.16,9.52
44,0,0,9,3,132.96,0.78,3.39,84.64,11.74,28.88,75.42,2.28
45,0,1,9,3,132.96,0.78,3.39,84.64,11.74,28.88,75.42,2.28
46,1,1,9,2,120.27,0.26,3.21,62.62,2.08,1.56,3.25,5.18
47,1,0,9,2,120.27,0.26,3.21,62.62,2.08,1.56,3.25,5.18
48,2,2,9,4,288.83,0.5,13.4,91.31,13.74,52.28,64.73,3.0
49,2,3,9,4,288.83,0.5,13.4,91.31,13.74,52.28,64.73,3.0
50,2,0,9,4,288.83,0.5,13.4,91.31,13.74,52.28,64.73,3.0
51,0,0,15,2,99.91,0.0,1.87,90.7,2.06,7.05,25.66,3.66
